,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,bario,year
121,7,3,0,4,,"69,4","64,3",-,"73,3",,"124,5","90,4","150,0",,"1.826,9","1.494,7","2.076,1",7 42. la Clota,2013-04-01
122,136,23,0,113,,"76,2","62,7",-,"78,8",,"136,0","110,4","141,7",,"1.730,5","1.794,0","1.716,2",7 43. Horta,2013-04-01
123,54,3,0,51,,"71,5","75,7",-,"71,3",,"134,7","103,3","136,6",,"1.894,0","1.400,4","1.924,2",8 44. Vilapicina i la Torre Llobeta,2013-04-01
124,101,1,0,100,,"67,6","81,0",-,"67,5",,"114,4",-,"114,6",,"1.670,8",-,"1.683,1",8 45. Porta,2013-04-01
125,34,0,0,34,,"64,8",-,-,"64,8",,"101,7",-,"101,7",,"1.538,6",-,"1.538,6",8 46. el Turó de la Peira,2013-04-01
126,2,0,0,2,,"61,0",-,-,"61,0",,-,-,-,,-,-,-,8 47. Can Peguera,2013-04-01
127,56,0,0,56,,"75,3",-,-,"75,3",,"143,5",-,"143,5",,"1.795,9",-,"1.795,9",8 48. la Guineueta,2013-04-01
128,32,0,0,32,,"67,3",-,-,"67,3",,"132,3",-,"132,3",,"1.787,2",-,"1.787,2",8 49. Canyelles,2013-04-01
129,76,0,0,76,,"58,1",-,-,"58,1",,"71,8",-,"71,8",,"1.213,4",-,"1.213,4",8 50. les Roquetes,2013-04-01
130,78,0,0,78,,"65,8",-,-,"65,8",,"104,7",-,"104,7",,"1.635,7",-,"1.635,7",8 51. Verdun,2013-04-01
131,98,0,0,98,,"57,7",-,-,"57,7",,"96,8",-,"96,8",,"1.597,6",-,"1.597,6",8 52. la Prosperitat,2013-04-01
132,32,0,0,32,,"54,7",-,-,"54,7",,"48,5",-,"48,5",,"968,2",-,"968,2",8 53. la Trinitat Nova,2013-04-01
133,5,0,0,5,,"80,0",-,-,"80,0",,"153,6",-,"153,6",,"1.710,2",-,"1.710,2",8 54. Torre Baró,2013-04-01
134,32,0,0,32,,"58,0",-,-,"58,0",,"48,8",-,"48,8",,"868,1",-,"868,1",8 55. Ciutat Meridiana,2013-04-01
135,8,0,0,8,,"84,3",-,-,"84,3",,"183,1",-,"183,1",,"2.060,5",-,"2.060,5",8 56. Vallbona,2013-04-01
136,145,3,0,142,,"74,8","89,3",-,"74,5",,"146,1","437,9","138,2",,"1.878,7","4.490,7","1.808,1",9 57. la Trinitat Vella,2013-04-01
137,7,0,0,7,,"63,0",-,-,"63,0",,-,-,-,,-,-,-,9 58. Baró de Viver,2013-04-01
138,46,0,0,46,,"66,8",-,-,"66,8",,"94,4",-,"94,4",,"1.426,2",-,"1.426,2",9 59. el Bon Pastor,2013-04-01
139,283,1,0,282,,"66,1","64,0",-,"66,1",,"134,8",-,"134,8",,"2.024,7",-,"2.025,1",9 60. Sant Andreu,2013-04-01
140,234,1,0,233,,"72,9","95,0",-,"72,8",,"153,6",-,"152,1",,"2.182,2",-,"2.175,4",9 61. la Sagrera,2013-04-01
141,121,6,0,115,,"68,8","75,5",-,"68,4",,"129,7","136,3","129,1",,"1.934,6","1.746,7","1.951,9",9 62. el Congrés i els Indians,2013-04-01
142,149,13,0,136,,"88,4","69,8",-,"90,2",,"261,1","109,6","280,9",,"2.666,5","1.660,9","2.797,6",9 63. Navas,2013-04-01
143,350,3,0,347,,"76,7","93,7",-,"76,5",,"252,3","250,2","252,3",,"2.618,5","2.601,3","2.618,7","10 64. el Camp de l""Arpa del Clot",2013-04-01
